DISCOVERTIME,COORDX,COORDY,INFOSCNAME
11-12月-14,100,100,路面积水、污水冒溢、粪便冒溢
30-11月-14,-4415,-7798,架空线坠落
26-11月-14,100.001,100.001,群租
27-11月-14,100.001,100.001,群租
26-11月-14,100.001,100.001,群租
30-11月-14,100.001,100.001,群租
19-12月-14,100,100,擅自占用道路堆物、施工
01-12月-14,-4826,-4731,机动车乱停放、非机动车乱停放
27-11月-14,100.001,100.001,群租
27-11月-14,100.001,100.001,群租
27-11月-14,100.001,100.001,群租
08-12月-14,-677.5183,-3712.3919,群租
08-12月-14,-1313.164321,-2477.420456,群租
30-11月-14,100,100,路面积水、污水冒溢、粪便冒溢
25-11月-14,100.001,100.001,群租
24-11月-14,100.001,100.001,群租
24-11月-14,100.001,100.001,群租
04-12月-14,-4825.7,-4731.26,群租
04-12月-14,-3392.640793,-7615.030841,群租
04-12月-14,-4825.7,-4731.26,群租
29-11月-14,-3142.334884,-6470.359466,群租整治
29-11月-14,100.001,100.001,群租
18-12月-14,-4183.67,-4463.9,擅自占用道路堆物、施工
23-11月-14,-1299.488355,-2627.436354,群租
25-11月-14,100.001,100.001,群租
17-12月-14,-3392.640793,-7615.030841,群租
09-12月-14,-3284.88,-9280.86,上水井盖
07-12月-14,-2343.116155,-2079.525449,群租
16-12月-14,100,100,上水井盖
22-11月-14,100.001,100.001,群租
19-11月-14,100.001,100.001,群租
25-10月-14,-4240.569718,-3907.089827,车容车貌脏乱差
17-11月-14,100.001,100.001,群租
17-11月-14,100.001,100.001,群租
01-11月-14,-2992,-2802,机动车乱停放、非机动车乱停放
01-11月-14,-2942.044943,-4347.334305,机动车乱停放、非机动车乱停放
01-11月-14,100.001,100.001,群租
25-10月-14,100.001,100.001,车容车貌脏乱差
12-11月-14,100.001,100.001,车容车貌脏乱差
12-11月-14,-4652.43,-11535.26,群租
11-11月-14,100.001,100.001,群租
10-11月-14,-1971.060077,-5661.380061,群租
22-11月-14,-25467.61177,-37514.73863,群租
11-11月-14,100.001,100.001,车容车貌脏乱差
11-11月-14,100.001,100.001,群租
11-11月-14,100.001,100.001,群租
19-11月-14,100.001,100.001,群租
19-11月-14,-1543.411053,-5229.460842,群租
19-11月-14,-1164.564597,-4354.303756,群租
10-11月-14,-2023.51,-10693.55,群租
10-11月-14,-579.4282523,-3751.262374,群租
